,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tolls,extras,payment_type,Month,Day of Week,Hour,tip
0,1020,3.1,6,8,12.25,0.0,0.0,Cash,10,3,18,0
1,300,1.2,16,15,6.5,0.0,0.0,Cash,10,2,23,0
2,1440,8.2,3,28,24.0,0.0,0.0,Credit Card,11,5,23,1
3,360,1.7,4,5,7.5,0.0,0.0,Cash,11,6,19,0
4,900,3.9,14,23,13.25,0.0,0.0,Cash,11,0,22,0
5,540,2.6,28,8,9.5,0.0,0.0,Credit Card,1,2,22,1
6,540,2.0,6,7,8.5,0.0,0.0,Cash,1,5,3,0
7,720,1.8,8,32,9.0,0.0,2.0,Cash,12,3,14,0
8,1249,3.89,6,8,14.0,0.0,0.0,Credit Card,11,3,8,1
9,542,1.33,8,28,7.25,0.0,0.0,Cash,12,5,16,0
10,369,1.24,28,32,6.5,0.0,0.0,Cash,12,0,11,0
11,1020,8.2,77,32,22.75,0.0,0.0,Credit Card,12,0,18,1
12,829,1.9,24,32,9.0,0.0,0.0,Cash,12,4,14,0
13,840,3.1,28,8,11.75,0.0,0.0,Cash,11,0,21,0
14,350,1.3,16,16,6.25,0.0,0.0,Cash,12,2,21,0
15,337,1.04,21,21,6.0,0.0,2.0,Cash,12,1,22,0
16,1680,7.9,16,8,23.75,0.0,1.0,Cash,9,3,20,0
17,360,1.4,11,11,7.25,0.0,0.0,Credit Card,8,0,17,1
18,780,2.7,28,8,11.0,0.0,0.0,Credit Card,8,3,13,1
19,1380,3.8,6,8,14.5,0.0,0.0,Cash,9,3,9,0
20,1200,2.8,32,32,12.75,0.0,0.0,Cash,8,3,18,0
21,1860,3.2,6,24,16.75,0.0,1.0,Credit Card,9,4,23,1
22,780,3.3,4,1,11.5,0.0,1.5,Credit Card,8,2,23,1
23,1440,5.2,16,24,17.75,0.0,2.0,Cash,9,6,16,0
24,572,1.61,4,3,7.5,0.0,0.0,Cash,4,1,18,0
25,660,1.2,11,11,8.25,0.0,0.0,Cash,4,4,22,0
26,1560,7.9,16,32,22.25,0.0,0.0,Cash,4,1,6,0
27,628,2.65,7,8,10.0,0.0,1.0,Cash,4,3,22,0
28,1164,3.9,28,8,15.75,0.0,1.0,Cash,4,5,14,0
29,1020,5.5,14,6,17.0,0.0,0.0,Cash,4,3,2,0
30,686,4.72,1,6,14.5,0.0,1.0,Credit Card,4,6,5,1
31,2171,15.3,7,76,38.75,0.0,2.0,Credit Card,4,1,6,1
32,1680,4.8,2,2,18.0,0.0,0.0,Credit Card,7,1,17,1
33,360,1.7,8,32,7.5,0.0,0.0,Cash,8,4,7,0
34,492,1.1,8,32,6.75,0.0,0.0,Mobile,8,4,10,1
35,360,1.6,6,7,7.0,0.0,0.0,Credit Card,7,6,2,1
36,720,2.9,7,28,10.5,0.0,0.0,Cash,8,5,2,0
37,1080,5.9,34,8,17.0,0.0,2.0,Credit Card,4,5,18,1
38,1560,7.8,4,8,20.0,0.0,0.0,Unknown,3,1,15,0
39,1440,7.4,6,28,22.5,0.0,0.0,Credit Card,3,5,22,1
40,1440,8.7,62,28,24.75,0.0,5.0,Cash,4,0,14,0
41,240,1.1,11,11,6.0,0.0,0.0,Cash,4,5,9,0
42,780,2.7,7,8,11.0,0.0,1.0,Cash,4,4,23,0
43,900,1.9,8,32,10.0,0.0,0.0,Credit Card,3,4,10,1
44,900,2.7,7,32,10.75,0.0,1.0,Cash,5,5,15,0
45,720,3.4,28,8,11.75,0.0,1.0,Credit Card,4,4,23,1
46,840,5.0,34,28,16.0,0.0,2.0,Cash,4,4,22,0
47,382,1.79,16,4,7.5,0.0,0.0,Cash,1,6,13,0
48,1386,1.5,27,28,12.5,0.0,0.0,Cash,5,3,6,0
49,420,2.0,4,3,8.0,0.0,0.0,Cash,2,3,1,0
50,780,8.6,16,76,22.5,0.0,0.0,Cash,3,4,21,0
51,300,1.8,33,35,10.0,0.0,0.0,Cash,2,4,23,0
52,600,3.5,6,8,11.75,0.0,0.0,Credit Card,1,4,10,1
53,540,1.3,8,8,8.0,0.0,0.0,Cash,2,1,10,0
54,840,1.5,24,8,8.75,0.0,0.0,Credit Card,2,2,18,1
55,1800,9.4,41,32,26.75,0.0,0.0,Credit Card,2,1,10,1
56,1320,3.4,7,32,14.25,0.0,5.0,Credit Card,3,3,9,0
57,360,1.4,24,8,6.75,0.0,1.0,Credit Card,3,5,3,1
58,660,3.1,14,3,11.0,0.0,0.0,Cash,6,5,0,0
59,660,3.6,7,8,12.5,0.0,2.0,Cash,6,5,0,0
60,480,1.5,8,8,7.5,0.0,1.0,Credit Card,6,4,19,1
61,540,2.4,7,8,9.5,0.0,0.5,Credit Card,6,6,5,1
62,480,2.0,31,34,11.0,0.0,0.0,Cash,6,2,15,0
63,2760,10.3,33,6,31.75,0.0,0.0,Credit Card,6,2,18,1
64,216,3.87,37,44,11.75,0.0,0.0,Cash,8,4,0,0
65,600,2.9,6,8,10.5,0.0,0.0,Cash,8,4,10,0
66,540,3.4,6,32,14.25,0.0,0.0,Credit Card,8,0,7,1
67,935,7.6,41,32,21.5,0.0,1.0,Cash,8,0,14,0
68,2185,6.6,68,32,21.5,0.0,0.0,Credit Card,8,2,8,0
69,1642,5.74,6,32,18.5,0.0,0.0,Credit Card,8,4,8,1
70,720,1.7,8,32,8.5,0.0,0.0,Cash,8,4,19,0
71,398,2.89,3,6,10.0,0.0,0.0,Credit Card,8,1,9,1
72,368,1.29,6,7,6.75,0.0,1.0,Credit Card,8,6,2,0
73,410,1.5,1,77,7.5,0.0,1.5,Cash,8,6,4,0
74,720,2.2,6,7,9.0,0.0,1.5,Cash,9,5,22,0
75,1093,5.47,33,41,17.0,0.0,0.0,Credit Card,3,6,12,1
76,540,1.6,28,32,8.25,0.0,1.0,Credit Card,3,4,23,1
77,1500,6.2,6,8,20.5,0.0,1.5,Cash,3,5,18,0
78,747,2.83,7,32,10.75,0.0,0.0,Cash,3,1,10,0
79,2640,15.1,2,76,41.5,0.0,0.0,Cash,3,4,7,0
80,660,2.2,8,32,9.25,0.0,0.0,Cash,1,3,11,0
81,1026,3.24,6,7,12.75,0.0,1.0,Cash,1,0,2,0
82,2973,9.37,25,27,31.25,0.0,0.0,Cash,6,3,7,0
83,1860,4.1,28,8,18.0,0.0,0.0,Cash,8,2,18,0
84,2760,24.6,30,76,60.0,0.0,3.0,Credit Card,7,6,13,1
85,900,2.1,7,6,10.0,0.0,1.0,Cash,7,3,18,0
86,1412,5.6,3,8,17.25,0.0,0.0,Cash,12,0,8,0
87,608,2.3,5,6,9.5,0.0,0.0,Cash,12,0,19,0
88,360,1.4,11,11,7.0,0.0,0.0,Cash,11,1,14,0
89,2640,14.8,1,35,39.75,0.0,0.0,Credit Card,11,2,10,1
90,540,1.8,7,8,8.25,0.0,1.0,Credit Card,12,4,20,1
91,780,4.3,6,8,13.5,0.0,0.0,Cash,12,6,1,0
92,600,3.0,7,8,10.5,0.0,0.0,Credit Card,11,1,10,1
93,7620,18.9,14,16,67.75,0.0,0.0,Cash,12,1,9,0
94,1980,12.7,45,62,34.5,0.0,0.0,Cash,11,5,4,0
95,1380,5.8,14,22,19.25,0.0,0.0,Credit Card,12,5,7,1
96,720,2.6,14,21,10.25,0.0,0.0,Cash,12,6,20,0
97,1450,7.5,35,8,22.0,0.0,0.0,Cash,1,2,7,0
98,1440,6.3,44,66,19.25,0.0,0.0,Cash,2,0,8,0
99,958,3.3,6,8,12.75,0.0,0.0,Cash,2,1,13,0
100,852,4.89,6,32,15.75,0.0,0.0,Credit Card,2,3,14,1
101,420,1.2,24,32,6.75,0.0,0.0,Credit Card,2,3,13,1
102,480,1.5,8,32,7.5,0.0,0.0,Credit Card,2,4,15,1
103,1200,5.28,16,7,17.25,0.0,0.0,Cash,2,3,10,0
104,872,3.62,22,6,12.5,0.0,0.0,Credit Card,1,6,1,0
105,1176,8.01,8,33,22.5,0.0,0.0,Prcard,5,1,13,0
106,1817,13.5,43,28,34.25,0.0,3.5,Cash,4,5,9,0
107,676,4.36,33,39,13.75,0.0,0.0,Cash,5,4,11,0
108,662,5.45,22,8,16.25,0.0,0.0,Cash,4,6,0,0
109,840,4.3,7,32,14.0,0.0,0.0,Credit Card,5,3,7,1
110,923,2.58,24,32,11.25,0.0,0.0,Cash,5,1,13,0
111,720,3.0,28,8,11.5,0.0,0.0,Cash,4,5,19,0
112,337,1.1,8,8,6.0,0.0,0.0,Cash,5,2,7,0
113,780,2.2,6,6,10.0,0.0,1.0,Cash,4,2,1,0
114,764,3.5,14,15,12.0,0.0,0.0,Cash,4,6,2,0
115,738,2.0,4,3,8.75,0.0,0.0,Cash,9,6,11,0
116,1338,7.7,41,8,22.75,0.0,1.0,Cash,9,6,16,0
117,244,1.06,35,35,6.0,0.0,0.0,Cash,8,6,11,0
118,1320,4.8,6,8,16.25,0.0,1.0,Credit Card,9,5,14,1
119,720,1.8,28,28,10.0,0.0,3.0,Cash,9,5,21,0
120,1380,9.2,34,6,25.5,0.0,0.0,Credit Card,9,5,20,1
121,855,4.25,6,24,13.75,0.0,1.0,Credit Card,9,1,23,1
122,3420,1.4,36,76,57.0,0.0,1.0,Credit Card,6,3,8,1
123,900,2.0,28,32,9.75,0.0,0.0,Credit Card,5,4,11,1
124,420,1.2,8,8,6.25,0.0,0.0,Cash,5,1,13,0
125,660,5.6,6,8,16.5,0.0,0.0,Cash,5,2,7,0
126,840,2.0,5,6,10.0,0.0,0.0,Cash,6,4,10,0
127,1140,4.1,2,1,13.75,0.0,0.5,Cash,5,6,14,0
128,435,1.33,4,3,6.75,0.0,0.0,Cash,6,3,11,0
129,558,1.91,28,28,8.5,0.0,0.0,Credit Card,6,1,17,1
130,2040,9.5,41,28,28.75,0.0,3.5,Cash,6,4,17,0
131,2694,5.06,35,35,23.75,0.0,1.0,Cash,6,4,10,0
132,480,2.6,7,8,9.5,0.0,1.5,Credit Card,6,0,22,1
133,1192,3.61,7,32,13.5,0.0,0.0,Credit Card,6,2,7,1
134,1080,3.6,28,7,13.5,0.0,1.0,Cash,6,5,23,0
135,460,1.5,33,60,7.25,0.0,0.0,Cash,6,2,16,0
136,516,1.64,8,8,7.5,0.0,0.0,Credit Card,6,3,9,1
137,866,3.71,11,19,12.5,0.0,0.0,Cash,6,5,19,0
138,658,3.16,16,19,11.25,0.0,0.0,Credit Card,6,4,7,0
139,429,1.5,4,4,6.75,0.0,0.0,Cash,6,1,7,0
140,1500,15.4,21,21,38.75,0.0,25.0,Credit Card,6,6,13,1
141,375,1.2,24,28,6.25,0.0,0.0,Cash,10,4,14,0
142,732,7.1,17,76,19.5,0.0,1.0,Cash,10,3,5,0
143,955,2.56,41,39,11.0,0.0,0.0,Prcard,10,3,16,0
144,2147,5.03,6,32,18.75,0.0,0.0,Credit Card,10,0,8,1
145,960,5.8,6,8,17.5,0.0,1.0,Cash,10,2,1,0
146,1771,6.9,33,7,21.75,0.0,2.5,Credit Card,9,6,12,1
147,391,1.32,1,77,6.5,0.0,1.0,Cash,10,5,19,0
148,4221,16.05,7,76,44.0,0.0,0.0,Cash,10,2,14,0
149,1419,5.2,42,71,17.25,0.0,0.0,Prcard,10,4,19,0
150,2298,8.4,39,28,29.5,0.0,0.0,Cash,11,1,12,0
151,887,3.25,33,8,12.0,0.0,1.0,Credit Card,10,6,6,1
152,1058,2.22,49,53,11.5,0.0,0.0,Prcard,10,4,12,0
153,660,2.9,7,8,10.75,0.0,0.0,Cash,11,4,22,0
154,983,3.25,5,7,13.25,0.0,0.0,Cash,10,4,21,0
155,360,1.1,5,4,6.0,0.0,0.0,Cash,10,5,17,0
156,300,1.3,4,14,6.5,0.0,0.0,Cash,2,5,22,0
157,735,3.4,1,3,11.5,0.0,0.0,Cash,2,3,7,0
158,781,1.68,28,28,9.0,0.0,0.0,Cash,2,0,9,0
159,1433,5.55,6,28,18.25,0.0,0.0,Credit Card,3,0,8,1
160,761,2.28,33,31,9.5,0.0,1.0,Cash,3,4,17,0
161,401,1.1,60,35,20.0,0.0,0.0,Prcard,2,1,10,0
162,649,1.05,8,8,7.75,0.0,0.0,Cash,3,4,12,0
163,519,2.43,60,33,9.25,0.0,1.0,Cash,2,5,15,0
164,430,1.48,33,32,7.5,0.0,0.0,Credit Card,2,4,5,1
165,391,1.03,8,8,6.25,0.0,0.0,Cash,2,4,13,0
166,627,3.1,6,8,11.0,0.0,0.0,Cash,2,3,19,0
167,710,2.2,28,8,9.75,0.0,1.0,Credit Card,3,1,17,1
168,660,5.3,3,7,15.75,0.0,1.0,Cash,3,5,23,0
169,1111,4.94,6,32,16.25,0.0,0.0,Credit Card,2,2,0,1
170,354,1.02,8,32,6.25,0.0,0.0,Cash,3,3,9,0
171,780,3.5,7,32,12.0,0.0,0.0,Credit Card,2,2,7,1
172,3352,9.78,34,27,33.5,0.0,0.0,Cash,2,1,17,0
173,548,2.49,77,3,9.5,0.0,0.0,Credit Card,7,5,23,1
174,1920,8.1,6,28,23.75,0.0,0.0,Cash,7,5,23,0
175,337,2.19,35,38,8.5,0.0,0.0,Prcard,7,6,9,1
176,439,1.55,33,35,7.75,0.0,0.0,Cash,1,1,12,0
177,1860,4.3,6,8,17.25,0.0,2.0,Cash,7,1,17,0
178,769,2.75,33,32,11.0,0.0,0.0,Credit Card,1,1,15,1
179,918,2.35,32,8,10.5,0.0,0.0,Credit Card,7,5,19,1
180,1080,3.2,7,32,12.25,0.0,0.0,Cash,1,1,7,0
181,1020,3.0,6,8,12.0,0.0,2.0,Credit Card,7,5,19,1
182,540,1.6,1,77,8.0,0.0,0.0,Cash,7,0,15,0
183,351,1.19,4,4,6.5,0.0,0.0,Credit Card,7,4,21,1
184,500,2.34,38,42,9.0,0.0,0.0,Cash,5,3,12,0
185,182,1.55,33,35,6.75,0.0,0.0,Credit Card,5,4,9,1
186,600,1.3,8,32,7.5,0.0,0.0,Credit Card,5,0,9,1
187,744,3.35,22,8,11.5,0.0,3.0,Credit Card,5,6,2,1
